ID,Name,RA,DEC,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Discovery Bibcode,Classification Bibcodes,Ext. catalog/s
30233,SN 2016jiu,10:02:05.570,+02:57:58.30,SN IIn,0.6814,,,HSC,HSC,HSC,HSC,,Subaru - HSC,Gemini-S - GMOS-S,1,1,2019-10-04,23.363,z-HSC,2016-11-23 12:43:12.000,Moriya,,2019TNSTR1996....1M,2020TNSCR1772....1M,
21744,SN 2016jhr,12:18:19.850,+00:15:17.38,SN Ia,,,,MUSSES,MUSSES,MUSSES,MUSSES,MUSSES1604D,Subaru - HSC,Gemini-N - GMOS,1,1,,25.14,g-HSC,2016-04-04 08:23:59.000,Jiang,,2017TNSTR.847....1J,2017TNSCR.848....1J,
17011,SN 2016jgr,23:42:37.085,-45:41:24.72,SN IIn,0.0768,GALEXASC J234236.73-454123.7,,ASAS-SN,ASAS-SN,ASAS-SN,ASAS-SN,ASASSN-16pp,ASASSN-2 - Cassius,LCO-duPont - WFCCD,1,1,,17.3,V-Johnson,2016-12-31 01:55:12.000,Stanek,,2017TNSTR...7....1S,2017TNSCR..17....1P,
16993,SN 2016jga,02:05:38.280,-59:47:58.78,SN II,0.0243,AM 0204-600,0.0243,"ASAS-SN, GaiaAlerts","ASAS-SN, GaiaAlerts",None,ASAS-SN; GaiaAlerts,ASASSN-16po,"ASASSN-2 - Cassius, Gaia - Gaia-photometric",SOAR - Goodman,1,1,,17.05,V-Johnson,2016-12-24 03:21:36.000,Stanek,,2016TNSTR1108....1S,2017TNSCR..25....1S,
16991,SN 2016jfy,06:39:36.670,-65:44:16.15,SN Ia,0.034,,,GaiaAlerts,GaiaAlerts,PESSTO,GaiaAlerts,Gaia16cgd,Gaia - Gaia-photometric,ESO-NTT - EFOSC2-NTT,1,1,,18.3,G-Gaia,2016-12-28 02:09:36.000,Gaia_Bot1,,2016TNSTR1109....1D,2017TNSCR..27....1S,
16987,SN 2016jfu,12:54:42.624,+28:56:25.96,SN IIP,0.008,NGC4793,,Pan-STARRS,Pan-STARRS,None,Pan-STARRS,,"Other - Other, PS1 - GPC1",BAO-2.16m - Phot-spec,1,1,,16.6,Clear-,2016-12-30 18:11:44.000,Tsuboi,,2016TNSTR1107....1T,2017TNSCR...4....1X,
16986,SN 2016jft,09:43:55.810,+41:41:17.45,SN IIP,0.017,UGC 5198,,GaiaAlerts,GaiaAlerts,None,GaiaAlerts,,"Gaia - Gaia-photometric, Other - Other",BAO-2.16m - Phot-spec,1,1,,16.7,Clear-,2016-12-31 01:12:00.000,cortini,,2016TNSTR1106....1C,2017TNSCR..11....1X,
16952,SN 2016jel,10:03:04.110,-18:58:10.85,SN Ia,0.056,,,"ATLAS, GaiaAlerts","ATLAS, GaiaAlerts",PESSTO,ATLAS; GaiaAlerts,ATLAS16een,"ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric",ESO-NTT - EFOSC2-NTT,1,1,,18.79,cyan-ATLAS,2016-12-25 13:53:45.000,ATLAS_Bot1,,2016TNSTR1101....1T,2017TNSCR..19....1S,
16937,SN 2016jdw,13:16:19.597,+30:40:32.63,SN Ib,0.0189,SDSS J131620.53+304042.0,,"PTSS, Pan-STARRS","PTSS, Pan-STARRS",PTSS,Pan-STARRS; PTSS,PTSS-16sjp,"CNEOST - STA1600, PS1 - GPC1",Lijiang-2.4m - YFOSC,1,1,,17.8,r-Sloan,2016-12-29 20:22:52.000,Li,,2016TNSTR1104....1X,2016TNSCR1112....1Z,
16936,SN 2016jdv,14:14:31.634,+03:11:20.33,SN Ia,0.029,IC 0988,0.026934,ASAS-SN,ASAS-SN,ASAS-SN,ASAS-SN,ASASSN-16pl,ASASSN-1 - Brutus,LCO-duPont - WFCCD,1,1,,16.4,V-Johnson,2016-12-29 14:24:00.000,Stanek,,2016TNSTR1100....1S,"2017TNSCR...5....1S, 2017TNSCR1510....1S",
