ID,Name,RA,DEC,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Discovery Bibcode,Classification Bibcodes,Ext. catalog/s
16926,SN 2016jdl,12:27:39.950,+40:36:52.74,SN Ia,0.0232,SDSS J122739.66+403649.0 ,0.02328,"ASAS-SN, GaiaAlerts, iPTF","ASAS-SN, GaiaAlerts, iPTF",None,ASAS-SN; GaiaAlerts; iPTF,ASASSN-16pk,"ASASSN-1 - Brutus, Gaia - Gaia-photometric, P48 - CFH12k",BAO-2.16m - Phot-spec,1,1,,16.7,V-Johnson,2016-12-29 13:12:00.000,Stanek,,2016TNSTR1096....1S,2017TNSCR..12....1X,
16925,SN 2016jdk,23:23:03.151,-36:14:20.58,SN Ia,0.0371,GALEXASC J232303.16-361420.6,,ASAS-SN,ASAS-SN,ASAS-SN,ASAS-SN,ASASSN-16pj,ASASSN-2 - Cassius,LCO-duPont - WFCCD,1,1,,17.2,V-Johnson,2016-12-29 01:40:48.000,Stanek,,2016TNSTR1096....1S,2017TNSCR..48....1S,
16924,SN 2016jdj,13:26:01.990,+02:17:00.80,SN Ia,0.137,PGC 1221823,,XOSS,XOSS,None,XOSS,,Other - Other,Lijiang-2.4m - YFOSC,1,1,,18.4,Clear-,2016-12-28 23:24:57.000,Gao,,2016TNSTR1098....1G,2016TNSCR1105....1Z,
16889,SN 2016jca,06:06:51.430,-26:47:29.50,SN Ic-BL,0.1475,,0.1475,,,None,,SN-GRB161219B,VLT-UT1 - FORS2,VLT-UT1 - FORS2,1,1,,19.0,r-Sloan,2016-12-25 23:00:00.000,Pian,,2016TNSTR1090....1P,2016TNSCR1094....1P,
16887,SN 2016jby,10:52:25.900,+10:32:38.87,SN II,0.022,NGC 3438,,"POSS, GaiaAlerts","POSS, GaiaAlerts",PESSTO,GaiaAlerts; POSS,,"Gaia - Gaia-photometric, Other - Other",ESO-NTT - EFOSC2-NTT,1,1,,18.0,Clear-,2016-12-27 11:35:45.000,Puckett,,2016TNSTR1093....1G,2016TNSCR1099....1S,
16881,SN 2016jbs,09:22:08.580,-09:45:17.57,SN Ia,0.055,,,"GaiaAlerts, Pan-STARRS","GaiaAlerts, Pan-STARRS",PESSTO,GaiaAlerts; Pan-STARRS,Gaia16cfp,"Gaia - Gaia-photometric, PS1 - GPC1",ESO-NTT - EFOSC2-NTT,1,1,,18.96,G-Gaia,2016-12-25 14:55:40.000,Gaia_Bot1,,2016TNSTR1089....1D,2016TNSCR1099....1S,
16841,SN 2016jae,09:42:34.510,+10:59:35.38,SN Ia,0.021,,,"ATLAS, GaiaAlerts, Pan-STARRS","ATLAS, GaiaAlerts, Pan-STARRS",PESSTO,ATLAS; GaiaAlerts; Pan-STARRS,ATLAS16eay,"ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, PS1 - GPC1",ESO-NTT - EFOSC2-NTT,1,1,,17.42,cyan-ATLAS,2016-12-22 14:32:38.000,ATLAS_Bot1,,2016TNSTR1077....1T,2016TNSCR1095....1S,
16838,SN 2016jab,07:05:26.707,-76:00:33.48,SN Ia,0.0215,,,ASAS-SN,ASAS-SN,ASAS-SN,ASAS-SN,ASASSN-16pd,ASASSN-2 - Cassius,LCO-duPont - WFCCD,1,1,,16.3,V-Johnson,2016-12-23 05:16:48.000,Stanek,,2016TNSTR1076....1S,2017TNSCR..50....1M,
16833,SN 2016izw,09:57:41.200,-03:12:46.15,SN Ia,0.035,,,"GaiaAlerts, Pan-STARRS","GaiaAlerts, Pan-STARRS",NUTS,GaiaAlerts; Pan-STARRS,Gaia16ceq,"Gaia - Gaia-photometric, PS1 - GPC1",NOT - ALFOSC,1,1,,17.74,G-Gaia,2016-12-21 14:45:36.000,Gaia_Bot1,,2016TNSTR1078....1D,2019TNSCR.523....1B,
16832,SN 2016izv,10:06:45.490,-06:11:45.89,SN Ia,0.063,,,"GaiaAlerts, Pan-STARRS","GaiaAlerts, Pan-STARRS",PESSTO,GaiaAlerts; Pan-STARRS,Gaia16cep,"Gaia - Gaia-photometric, PS1 - GPC1",ESO-NTT - EFOSC2-NTT,1,1,,18.36,G-Gaia,2016-12-21 01:00:28.000,Gaia_Bot1,,2016TNSTR1078....1D,2016TNSCR1099....1S,
16815,SN 2016izf,00:33:12.024,-84:29:21.31,SN Ia,0.034,,,ASAS-SN,ASAS-SN,ASAS-SN,ASAS-SN,ASASSN-16pa,ASASSN-2 - Cassius,LCO-duPont - WFCCD,1,1,,17.17,V-Johnson,2016-12-22 01:55:12.000,Bose,,2016TNSTR1069....1B,2017TNSCR..49....1M,
16809,SN 2016iyz,05:52:37.430,-17:47:13.74,SN II,0.0104,IC 2151,0.010556,"LOSS, GaiaAlerts","LOSS, GaiaAlerts",PESSTO,GaiaAlerts; LOSS,kait-16ca,"Gaia - Gaia-photometric, Other - Other",ESO-NTT - EFOSC2-NTT,1,1,,18.3,Clear-,2016-12-20 09:36:50.000,Zheng,,2016TNSTR1063....1R,2016TNSCR1074....1S,
16808,SN 2016iyy,06:56:34.609,+46:53:38.37,SN II,0.0286,,,"ATLAS, Pan-STARRS, iPTF","ATLAS, Pan-STARRS, iPTF",ASAS-SN,ATLAS; iPTF; Pan-STARRS,ATLAS16dzt,"ATLAS-HKO - ATLAS-02, P48 - CFH12k, PS1 - GPC1",MDM-2.4 - OSMOS,1,1,,17.38,orange-ATLAS,2016-12-20 10:35:02.000,ATLAS_Bot1,,2016TNSTR1061....1T,2017TNSCR..42....1P,
16807,SN 2016iyx,08:43:24.755,+37:32:46.11,SN Ia,0.041,,,ATLAS,ATLAS,ASAS-SN,ATLAS,ATLAS16dzp,ATLAS-HKO - ATLAS-02,MDM-2.4 - OSMOS,1,1,,17.28,orange-ATLAS,2016-12-20 11:21:07.000,ATLAS_Bot1,,2016TNSTR1061....1T,2017TNSCR..41....1P,
16805,SN 2016iyv,09:00:13.350,-13:38:02.33,SN Ia-91T-like,0.031,,,"ASAS-SN, GaiaAlerts, Pan-STARRS","ASAS-SN, GaiaAlerts, Pan-STARRS",PESSTO,ASAS-SN; GaiaAlerts; Pan-STARRS,ASASSN-16oz,"ASASSN-1 - Brutus, ASASSN-2 - Cassius, Gaia - Gaia-photometric, PS1 - GPC1",ESO-NTT - EFOSC2-NTT,1,1,,16.8,V-Johnson,2016-12-20 04:33:36.000,Stanek,,2016TNSTR1060....1S,2016TNSCR1067....1S,
16795,SN 2016iyl,10:30:56.260,+09:43:21.61,SN Ia,0.087,,,GaiaAlerts,GaiaAlerts,PESSTO,GaiaAlerts,Gaia16cdo,Gaia - Gaia-photometric,ESO-NTT - EFOSC2-NTT,1,1,,18.8,G-Gaia,2016-12-18 00:44:38.000,Gaia_Bot1,,2016TNSTR1055....1D,2016TNSCR1074....1S,
16794,SN 2016iyk,10:41:06.400,+06:31:42.89,SN II,0.016,,,"GaiaAlerts, Pan-STARRS","GaiaAlerts, Pan-STARRS",PESSTO,GaiaAlerts; Pan-STARRS,Gaia16cdn,"Gaia - Gaia-photometric, PS1 - GPC1",ESO-NTT - EFOSC2-NTT,1,1,,17.99,G-Gaia,2016-12-17 18:47:31.000,Gaia_Bot1,,2016TNSTR1055....1D,2016TNSCR1067....1S,
16789,SN 2016iyf,10:16:34.210,+22:05:14.60,SN Ia,0.041,,,GaiaAlerts,GaiaAlerts,None,GaiaAlerts,Gaia16cdi,Gaia - Gaia-photometric,P60 - SEDM,1,1,,17.9,G-Gaia,2016-12-17 18:31:40.000,Gaia_Bot1,,2016TNSTR1055....1D,2016TNSCR1064....1B,
16788,SN 2016iye,07:45:19.720,-71:24:17.90,SN IIb,0.03,NGC2466,,BOSS,BOSS,PESSTO,BOSS; PESSTO,,Other - Other,ESO-NTT - EFOSC2-NTT,1,1,,17.4,Clear-,2016-12-19 11:23:45.000,Parker,,2016TNSTR1054....1P,2016TNSCR1065....1S,
16787,SN 2016iyd,07:37:09.756,-52:19:04.19,SN II,0.034,,,ASAS-SN,ASAS-SN,PESSTO,ASAS-SN,ASASSN-16oy,ASASSN-2 - Cassius,ESO-NTT - EFOSC2-NTT,1,1,,16.4,V-Johnson,2016-12-19 06:43:12.000,Stanek,,2016TNSTR1053....1S,2016TNSCR1065....1S,
16786,SN 2016iyc,22:09:14.290,+21:31:17.33,SN IIb,,UGC 11924,0.012685,"LOSS, GaiaAlerts","LOSS, GaiaAlerts",LOSS,GaiaAlerts; LOSS,kait-16bx,"Gaia - Gaia-photometric, Other - Other",Lick-3m - KAST,1,1,,17.0,Clear-,2016-12-18 03:28:00.000,Zheng, [Object redshift updated according to host-redshift by admin],2016TNSTR1056....1K,2017TNSCR..31....1Z,
16763,SN 2016ixf,10:39:44.560,+15:02:04.78,SN Ia,0.068,,,"GaiaAlerts, Pan-STARRS","GaiaAlerts, Pan-STARRS",PESSTO,GaiaAlerts; Pan-STARRS,Gaia16cdf,"Gaia - Gaia-photometric, PS1 - GPC1",ESO-NTT - EFOSC2-NTT,1,1,,18.14,G-Gaia,2016-12-17 00:38:52.000,Gaia_Bot1,,2016TNSTR1050....1D,2016TNSCR1067....1S,
16762,SN 2016ixe,11:12:27.390,-06:28:56.06,SN Ia,0.091,,,GaiaAlerts,GaiaAlerts,PESSTO,GaiaAlerts,Gaia16cde,Gaia - Gaia-photometric,ESO-NTT - EFOSC2-NTT,1,1,,18.99,G-Gaia,2016-12-17 00:59:02.000,Gaia_Bot1,,2016TNSTR1050....1D,2016TNSCR1065....1S,
16759,SN 2016ixb,04:54:00.038,+01:57:46.62,SN Ia,0.023,NPM1G +01.0158,0.028343,ASAS-SN,ASAS-SN,PESSTO,ASAS-SN,ASASSN-16ov,ASASSN-1 - Brutus,ESO-NTT - EFOSC2-NTT,1,1,,17.6,V-Johnson,2016-12-17 06:43:12.000,Stanek,,2016TNSTR1049....1S,2016TNSCR1059....1S,
16754,SN 2016iww,11:41:30.850,-09:33:42.48,SN Ia,0.072,,,GaiaAlerts,GaiaAlerts,PESSTO,GaiaAlerts,Gaia16ccv,Gaia - Gaia-photometric,ESO-NTT - EFOSC2-NTT,1,1,,18.58,G-Gaia,2016-12-15 19:01:55.000,Gaia_Bot1,,2016TNSTR1048....1D,2016TNSCR1059....1S,
16753,SN 2016iwv,10:37:22.390,+25:52:36.26,SN Ia,0.051,,,GaiaAlerts,GaiaAlerts,PESSTO,GaiaAlerts,Gaia16ccu,Gaia - Gaia-photometric,ESO-NTT - EFOSC2-NTT,1,1,,18.31,G-Gaia,2016-12-16 00:27:21.000,Gaia_Bot1,,2016TNSTR1048....1D,2016TNSCR1059....1S,
16742,SN 2016iwk,11:37:18.690,+01:20:23.89,SN Ia,0.053,,,"GaiaAlerts, Pan-STARRS","GaiaAlerts, Pan-STARRS",PESSTO,GaiaAlerts; Pan-STARRS,Gaia16ccr,"Gaia - Gaia-photometric, PS1 - GPC1",ESO-NTT - EFOSC2-NTT,1,1,,17.56,G-Gaia,2016-12-15 00:51:50.000,Gaia_Bot1,,2016TNSTR1045....1D,2016TNSCR1052....1S,
16725,SN 2016ivt,11:35:01.720,+08:28:25.18,SN Ia,0.029,,,"ATLAS, GaiaAlerts, Pan-STARRS","ATLAS, GaiaAlerts, Pan-STARRS",PESSTO,ATLAS; GaiaAlerts; Pan-STARRS,ATLAS16dzg,"ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, PS1 - GPC1",ESO-NTT - EFOSC2-NTT,1,1,,16.71,orange-ATLAS,2016-12-14 15:31:40.000,ATLAS_Bot1,,2016TNSTR1041....1T,2016TNSCR1052....1S,
16705,SN 2016iuz,10:33:53.100,+57:03:51.77,SN Ia,0.0483,,,GaiaAlerts,GaiaAlerts,None,GaiaAlerts,Gaia16cbu,Gaia - Gaia-photometric,Lijiang-2.4m - YFOSC,1,1,,17.64,G-Gaia,2016-12-11 23:57:07.000,Gaia_Bot1,,2016TNSTR1035....1D,2016TNSCR1039....1Z,
16687,SN 2016iuh,12:19:31.440,+49:49:04.26,SN Ia-91bg-like,0.013696,,,"GaiaAlerts, Pan-STARRS","GaiaAlerts, Pan-STARRS",ASAS-SN,GaiaAlerts; Pan-STARRS,Gaia16cbd,"Gaia - Gaia-photometric, PS1 - GPC1",MDM-2.4 - OSMOS,1,1,,16.28,G-Gaia,2016-12-09 06:04:19.000,Gaia_Bot1,,2016TNSTR1028....1D,2016TNSCR1058....1B,
16682,SN 2016iuc,13:13:26.590,+27:48:24.62,SN Ia,0.021,,,GaiaAlerts,GaiaAlerts,None,GaiaAlerts,Gaia16cay,Gaia - Gaia-photometric,NOT - ALFOSC,1,1,,16.7,G-Gaia,2016-12-07 18:24:28.000,Gaia_Bot1,,2016TNSTR1024....1D,2016TNSCR1029....1K,
16668,SN 2016ito,12:31:09.170,-35:55:50.30,SN Ia,0.02,AM 1228-353 NED02,0.01992,"ASAS-SN, GaiaAlerts","ASAS-SN, GaiaAlerts",None,ASAS-SN; GaiaAlerts,ASASSN-16oq,"ASASSN-1 - Brutus, ASASSN-2 - Cassius, Gaia - Gaia-photometric",SOAR - Goodman,1,1,,15.4,V-Johnson,2016-12-08 08:38:24.000,Stanek,,2016TNSTR1019....1S,2016TNSCR1033....1S,
16665,SN 2016itl,02:13:03.160,-33:38:06.04,SN Ia,0.043,,,GaiaAlerts,GaiaAlerts,PESSTO,GaiaAlerts,Gaia16cah,Gaia - Gaia-photometric,ESO-NTT - EFOSC2-NTT,1,1,,17.86,G-Gaia,2016-12-03 21:18:43.000,Gaia_Bot1,,2016TNSTR1020....1D,2016TNSCR1067....1S,
16657,SN 2016itd,14:18:47.740,+24:56:27.02,SN Ia,0.0175,,,"GaiaAlerts, Pan-STARRS","GaiaAlerts, Pan-STARRS",None,GaiaAlerts; Pan-STARRS,Gaia16caa,"Gaia - Gaia-photometric, PS1 - GPC1",Kanata - HOWPol,1,1,,16.05,G-Gaia,2016-12-02 06:17:16.000,Gaia_Bot1,,2016TNSTR1014....1D,2016TNSCR1022....1K,
16655,SN 2016itb,06:08:52.660,+50:50:40.60,SN Ia,0.04,,,TNTS,TNTS,DAO_OTS,TNTS,,BAO-0.6m - BATC,Plaskett - Plaskett,1,1,,17.1,Clear-,2016-12-06 19:12:00.000,Li,,2016TNSTR1015....1T,2016TNSCR1027....1B,
16639,SN 2016isl,03:58:12.620,+18:34:54.16,SN Ia-91T-like,0.023,NGC1488,,"Pan-STARRS, GaiaAlerts","Pan-STARRS, GaiaAlerts",Padova-Asiago,GaiaAlerts; Pan-STARRS,,"Gaia - Gaia-photometric, Other - Other, PS1 - GPC1",Ekar - AFOSC,1,1,,17.2,Clear-,2016-12-06 16:06:07.000,Shima,,2016TNSTR1004....1S,2016TNSCR1018....1T,
16634,SN 2016isg,01:41:18.833,-00:12:36.07,SN Ia,0.055,2MASX J01411858-0012382,0.055457,"ASAS-SN, iPTF","ASAS-SN, iPTF",None,ASAS-SN; iPTF,ASASSN-16oo,"ASASSN-1 - Brutus, ASASSN-2 - Cassius, P48 - CFH12k",NOT - ALFOSC,1,1,,16.8,V-Johnson,2016-12-06 01:55:12.000,Stanek,,2016TNSTR1005....1S,2016TNSCR1026....1K,
16631,SN 2016isd,23:31:54.446,-40:45:33.35,SN Ia,0.045,AM 2329-410,0.045312,ASAS-SN,ASAS-SN,None,ASAS-SN,ASASSN-16om,ASASSN-2 - Cassius,SOAR - Goodman,1,1,,17.52,V-Johnson,2016-12-03 03:22:56.000,Dong,,2016TNSTR.993....1B,2016TNSCR1081....1S,
16622,SN 2016iru,01:10:02.440,-70:20:57.26,SN Ia,0.027,,,"ASAS-SN, GaiaAlerts","ASAS-SN, GaiaAlerts",None,ASAS-SN; GaiaAlerts,ASASSN-16ol,"ASASSN-2 - Cassius, Gaia - Gaia-photometric",SOAR - Goodman,1,1,,17.0,V-Johnson,2016-12-04 01:41:13.000,Dong,,2016TNSTR.991....1N,2016TNSCR1033....1S,
16621,SN 2016irt,00:53:29.480,-36:21:54.36,SN Ia,0.04,,,"ASAS-SN, GaiaAlerts","ASAS-SN, GaiaAlerts",None,ASAS-SN; GaiaAlerts,ASASSN-16ok,"ASASSN-1 - Brutus, Gaia - Gaia-photometric",SOAR - Goodman,1,1,,17.27,V-Johnson,2016-12-05 00:58:20.000,Dong,,2016TNSTR.992....1N,2016TNSCR1081....1S,
16599,SN 2016iqx,06:46:51.360,-64:57:25.70,SN Ia,0.03,ESO 087-IG 041 NED01,0.030208,"ASAS-SN, GaiaAlerts","ASAS-SN, GaiaAlerts",None,ASAS-SN; GaiaAlerts,ASASSN-16of,"ASASSN-2 - Cassius, Gaia - Gaia-photometric",SOAR - Goodman,1,1,,16.7,V-Johnson,2016-12-01 06:37:29.000,Stanek,,2016TNSTR.979....1S,2016TNSCR1081....1S,
16568,SN 2016ips,05:32:09.379,-02:04:23.88,SN Ia,0.025,SDSS J053208.29-020407.9,,"ASAS-SN, iPTF","ASAS-SN, iPTF",Padova-Asiago,ASAS-SN; iPTF,ASASSN-16oj,"ASASSN-2 - Cassius, P48 - CFH12k",Ekar - AFOSC,1,1,,17.0,V-Johnson,2016-12-05 03:21:36.000,Stanek,,2016TNSTR.995....1S,2016TNSCR1013....1T,
16557,SN 2016ipi,05:48:27.020,-23:19:25.39,SN Ia,,2MASX J05482726-2319189,0.046072,ASAS-SN,ASAS-SN,ASAS-SN,ASAS-SN,ASASSN-16nv,ASASSN-2 - Cassius,FLWO-1.5m - FAST,1,1,,17.4,V-Johnson,2016-11-27 07:12:00.000,Holoien, [Object redshift updated according to host-redshift by admin],2016TNSTR.968....1H,2016TNSCR.988....1B,
16554,SN 2016ipf,08:07:13.115,+05:40:59.77,SN Ia,0.021,,,"ATLAS, Pan-STARRS","ATLAS, Pan-STARRS",Padova-Asiago,ATLAS; Pan-STARRS,ATLAS16dyo,"ATLAS-HKO - ATLAS-02, PS1 - GPC1",Ekar - AFOSC,1,1,,17.55,cyan-ATLAS,2016-11-28 14:49:55.000,ATLAS_Bot1,,2016TNSTR.969....1T,2016TNSCR.977....1T,
16550,SN 2016ipb,11:54:52.920,-28:37:27.73,SN Ia,0.088,,,"GaiaAlerts, Pan-STARRS","GaiaAlerts, Pan-STARRS",PESSTO,GaiaAlerts; Pan-STARRS,Gaia16byv,"Gaia - Gaia-photometric, PS1 - GPC1",ESO-NTT - EFOSC2-NTT,1,1,,18.25,G-Gaia,2016-11-27 15:04:19.000,Gaia_Bot1,,2016TNSTR.970....1D,2016TNSCR1059....1S,
16543,SN 2016iou,01:24:26.610,-02:08:26.05,SN Ia,0.042,,,"GaiaAlerts, Pan-STARRS","GaiaAlerts, Pan-STARRS",Padova-Asiago,GaiaAlerts; Pan-STARRS,Gaia16byl,"Gaia - Gaia-photometric, PS1 - GPC1",Ekar - AFOSC,1,1,,17.39,G-Gaia,2016-11-26 03:50:24.000,Gaia_Bot1,,2016TNSTR.970....1D,2016TNSCR.977....1T,
16542,SN 2016iot,16:38:51.200,+39:48:51.73,SN IIL,0.031,,,"GaiaAlerts, Pan-STARRS","GaiaAlerts, Pan-STARRS",NUTS,GaiaAlerts; Pan-STARRS,Gaia16byk,"Gaia - Gaia-photometric, PS1 - GPC1",NOT - ALFOSC,1,1,,16.69,G-Gaia,2016-11-26 05:42:43.000,Gaia_Bot1,,2016TNSTR.970....1D,2017TNSCR.234....1G,
16541,SN 2016ios,12:28:52.640,-11:38:59.71,SN II,0.017,,,GaiaAlerts,GaiaAlerts,None,GaiaAlerts,Gaia16byj,Gaia - Gaia-photometric,NOT - ALFOSC,1,1,,18.05,G-Gaia,2016-11-25 18:57:36.000,Gaia_Bot1,,2016TNSTR.970....1D,2016TNSCR1016....1K,
16539,SN 2016ioq,10:03:22.890,-37:23:44.34,SN Ia,0.026,,,GaiaAlerts,GaiaAlerts,PESSTO,GaiaAlerts,Gaia16byh,Gaia - Gaia-photometric,ESO-NTT - EFOSC2-NTT,1,1,,16.89,G-Gaia,2016-11-25 19:43:40.000,Gaia_Bot1,,2016TNSTR.970....1D,2016TNSCR1059....1S,
16534,SN 2016iol,11:41:56.167,+12:35:09.96,SN Ia,,CGCG 068-029,0.034215,ASAS-SN,ASAS-SN,ASAS-SN,ASAS-SN,ASASSN-16nt,"ASASSN-1 - Brutus, ASASSN-2 - Cassius",FLWO-1.5m - FAST,1,1,,17.1,V-Johnson,2016-11-27 14:24:00.000,Stanek, [Object redshift updated according to host-redshift by admin],2016TNSTR.963....1S,2016TNSCR.988....1B,
16529,SN 2016iog,10:04:18.560,+43:25:28.45,SN II,0.038,GALEXASC J100418.99+432525.7,,"ASAS-SN, GaiaAlerts","ASAS-SN, GaiaAlerts",Padova-Asiago,ASAS-SN; GaiaAlerts,ASASSN-16ns,"ASASSN-1 - Brutus, Gaia - Gaia-photometric",Ekar - AFOSC,1,1,,17.2,V-Johnson,2016-11-27 13:26:24.000,Stanek,,2016TNSTR.963....1S,2016TNSCR1013....1T,
16518,SN 2016inv,07:56:47.698,+37:49:13.43,SN Ia,0.043,,,ATLAS,ATLAS,Padova-Asiago,ATLAS,ATLAS16dye,ATLAS-HKO - ATLAS-02,Ekar - AFOSC,1,1,,17.78,cyan-ATLAS,2016-11-26 12:01:26.000,ATLAS_Bot1,,2016TNSTR.960....1T,2016TNSCR.977....1T,
16517,SN 2016inu,12:36:43.210,+26:06:48.67,SN Ia,,SDSS J123643.42+260647.1,0.020835,ASAS-SN,ASAS-SN,ASAS-SN,ASAS-SN,ASASSN-16np,ASASSN-1 - Brutus,FLWO-1.5m - FAST,1,1,,15.9,V-Johnson,2016-11-14 15:21:36.000,Stanek, [Object redshift updated according to host-redshift by admin],2016TNSTR.959....1S,2016TNSCR.987....1B,
16515,SN 2016ins,08:07:27.418,+25:07:44.94,SN Ia,0.024,IC 0493,0.020708,ASAS-SN,ASAS-SN,None,ASAS-SN,ASASSN-16no,ASASSN-1 - Brutus,Other - Other,1,1,,16.7,V-Johnson,2016-11-26 14:09:36.000,Stanek,,2016TNSTR.959....1S,2016TNSCR.971....1L,
16511,SN 2016ino,17:22:44.400,+62:09:44.17,SN Ic-BL,0.031,NGC6365A,,GaiaAlerts,GaiaAlerts,None,GaiaAlerts,,"Gaia - Gaia-photometric, Other - Other",Other - Other,1,1,,17.8,Clear-,2016-11-25 18:01:26.000,Arbour,,2016TNSTR.956....1A,2016TNSCR1031....1L,
16508,SN 2016inl,02:44:25.829,+19:10:42.69,SLSN-I,0.3057,,,Pan-STARRS,Pan-STARRS,FLEET,Pan-STARRS,PS16fgt,PS1 - GPC1,MMT - MMT-Blue,1,1,,19.59,w-P1,2016-10-25 12:10:04.000,PS1_Bot1,,2016TNSTR.958....1C,2021TNSCR1566....1B,
16454,SN 2016ilj,00:55:16.320,+12:19:10.99,SN Ic-BL,0.039451,,,"GaiaAlerts, iPTF, Pan-STARRS","GaiaAlerts, iPTF, Pan-STARRS",iPTF,GaiaAlerts; iPTF; Pan-STARRS,Gaia16byz,"Gaia - Gaia-photometric, P48 - CFH12k, PS1 - GPC1",NOT - ALFOSC,1,1,,18.11,G-Gaia,2016-11-27 22:07:40.000,Gaia_Bot1,,2016TNSTR.975....1D,2021TNSCR2382....1S,
16451,SN 2016ilg,23:48:01.083,+27:32:57.08,SN Ic,0.028129,,,iPTF,iPTF,iPTF,iPTF,iPTF16ilg,P48 - CFH12k,P60 - SEDM,1,1,2018-11-24,19.2272,g-PTF,2016-11-24 03:04:19.000,iPTF_Bot1,,2018TNSTR1817....1K,2021TNSCR2382....1S,
