"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"43437","SN 2014ge","12:04:51.500","+26:59:46.60","SN Ib","0.00189","","","MASTER, iPTF","MASTER, iPTF","Padova-Asiago","iPTF; MASTER","MASTER OT J120451.50+265946.6","Other - Other, P48 - CFH12k","Ekar - AFOSC","1","1","","13.9","Clear-","2014-10-28 20:59:20.000","MASTER","","2019TNSTR1539....1G","2021TNSCR2418....1P",""
"27497","SN 2014ft","23:33:27.953","+33:38:46.14","SN Ic","0.063","IV Zw 155","0.063","iPTF","iPTF","iPTF","iPTF","iPTF 14gqr","P48 - CFH12k","Keck1 - LRIS","1","1","2018-07-26","20.17","g-PTF","2014-10-14 04:33:36.000","De","","2018TNSTR1041....1D","2018TNSCR.919....1I",""
"23468","SN 2014fm","02:45:41.380","-08:12:30.10","SN Ia","0.03","NGC1082","","ISSP","ISSP","Padova-Asiago","ISSP","","Other - Other","Ekar - AFOSC","1","1","","18.14","Clear-","2014-10-24 23:18:15.000","Leonini","","2017TNSTR1286....1L","2017TNSCR1298....1T",""
"21349","SN 2014ey","15:04:29.972","+02:19:51.25","SN Iax[02cx-like]","0.03197","DSS J150429.75+021949.3","0.03197","iPTF","iPTF","iPTF","iPTF","iPTF14ans","P48 - CFH12k","P200 - DBSP","1","1","","20.35","R-PTF","2014-04-24 05:40:05.000","Yaron","","2017TNSTR.760....1G","2017TNSCR.762....1G",""
"16559","SN 2014es","09:20:46.910","-08:03:34.00","SN IIn","0.0196","MCG -1-24-12 ","0.019644","","","TNTS","TNTS","","Other - Other","BAO-2.16m - Phot-spec","1","1","","16","Clear-","2014-11-20 10:48:00.000","Wang","","2016TNSTR.972....1G","2016TNSCR.978....1W",""
"12138","SN 2014ek","23:56:06.550","+29:22:42.30","SN Iax[02cx-like]","0.023","UGC 12850","0.023","TNTS","TNTS","TNTS","TNTS","","BAO-0.6m - BATC","Lijiang-2.4m - YFOSC","1","1","","18.5","Clear-","2014-10-18 13:12:00.000","Wang","","2016TNSTR.344....1W","2016TNSCR.346....1Z",""
"6469","SN 2014dr","03:22:46.390","+00:09:20.70","SN II","","UGC 2705        ","","","","","","","PS1 - GPC1","","0","1","","16.6","","2014-10-14 00:00:00.000","","[Discoverer=Howerton, Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 4009; PositionRef=CBET 4009; Orig Type=II]","2021TNSTR.486....1H","",""
"6436","SN 2014cl","02:16:09.101","-11:56:02.62","SN IIb","","IC 217          ","","","","","","","PS1 - GPC1","","0","1","","17.5","","2014-06-16 00:00:00.000","","[Discoverer=Gonzalez, Pignata et al. (CHASE); DiscoveryRef=CBET 3950; PositionRef=CBET 3950; Orig Type=IIb]","2021TNSTR.635....1G","",""
"6403","SN 2014bf","15:57:35.230","+18:01:47.60","SN IIP","","MCG +03-41-7    ","","","","","","","PS1 - GPC1","","0","1","","17.4","","2014-05-22 00:00:00.000","","[Discoverer=Mo, Li, Li, Wang, Zhang (THU-NAOC Transient Survey); DiscoveryRef=CBET 3889; PositionRef=CBET 3889; Orig Type=IIP]","2021TNSTR.507....1A","",""
