"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"88250","SN 2013ld","16:26:42.918","+13:06:50.08","SN Ia","0.02741","","","Pan-STARRS","Pan-STARRS","ZTF","Pan-STARRS","PS21hrr","PS1 - GPC1","P60 - SEDM","1","1","","19.93","z-Sloan","2013-08-18 08:09:36.000","PS1_Bot1","","2021TNSTR2390....1C","2021TNSCR2547....1C",""
"17013","SN 2013if","18:32:41.098","-34:11:27.23","SN IIP","","IRAS 18293-3413","0.0196","SUNBIRD","SUNBIRD","SUNBIRD","","","Other - Other","Other - Other","1","1","","18.5","K-Bessel","2013-04-21 07:52:59.000","Kool"," [Object redshift updated according to host-redshift by admin]","2017TNSTR..10....1K","2017TNSCR.737....1K",""
"6336","SN 2013hj","09:12:06.290","-15:25:45.98","SN II","","MCG -02-24-3    ","","","","","","","PS1 - GPC1","","0","1","","14","","2013-12-12 00:00:00.000","","[Discoverer=Antezana, Pignata et al. (CHASE); DiscoveryRef=CBET 3757; PositionRef=CBET 3757; Orig Type=II]","2021TNSTR.535....1A","",""
"6309","SN 2013gj","02:41:10.001","-21:01:29.21","SN II","","Anon.           ","","","","","","","PS1 - GPC1","","0","1","","17.5","","2013-11-10 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3716; PositionRef=CBET 3716; Orig Type=II]","2021TNSTR.496....1A","",""
"6201","SN 2013cj","17:04:52.951","+12:55:10.42","SN IIn","","UGC 10685       ","","","","","","","PS1 - GPC1","","0","1","","18.1","","2013-05-09 00:00:00.000","","[Discoverer=Jin, Gao (Xingming Sky Survey); DiscoveryRef=CBET 3520; PositionRef=CBET 3520; Orig Type=IIn]","2021TNSTR.670....1J","",""
"6196","SN 2013ce","11:35:50.801","+34:17:02.69","SN IIP","","Anon.           ","","iPTF","iPTF","","iPTF","iPTF13ce","P48 - CFH12k","","0","1","","17.3","","2013-05-01 00:00:00.000","iPTF_Bot1","[Discoverer=Balanutsa (MASTER-Kislovodsk); DiscoveryRef=CBET 3515; PositionRef=CBET 3515; Orig Type=IIP]","2019TNSTR1778....1I","",""
"6158","SN 2013at","18:50:11.290","+30:20:59.50","SN IIP","","Anon.           ","","","","","","","PS1 - GPC1","","0","1","","16.9","","2013-03-19 00:00:00.000","","[Discoverer=Shurpakov (MASTER); DiscoveryRef=CBET 3448; PositionRef=CBET 3448; Orig Type=IIP]","2021TNSTR.748....1S","",""
